__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-03-21,US,United States,techsoftware,Software Development,NEW,94.89
HiringLabSectoralPosting,2020-03-22,US,United States,math,Data & Analytics,NEW,74.01
HiringLabSectoralPosting,2020-03-22,US,United States,project,Project Management,NEW,75.17
HiringLabSectoralPosting,2020-03-22,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,76.2
HiringLabSectoralPosting,2020-03-22,US,United States,techinfo,IT Systems & Solutions,NEW,78.76
HiringLabSectoralPosting,2020-03-22,US,United States,techsoftware,Software Development,NEW,91.71
HiringLabSectoralPosting,2020-03-23,US,United States,math,Data & Analytics,NEW,69.69
HiringLabSectoralPosting,2020-03-23,US,United States,project,Project Management,NEW,71.11
HiringLabSectoralPosting,2020-03-23,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,71.27
HiringLabSectoralPosting,2020-03-23,US,United States,techinfo,IT Systems & Solutions,NEW,74.4
HiringLabSectoralPosting,2020-03-23,US,United States,techsoftware,Software Development,NEW,88.08
HiringLabSectoralPosting,2020-03-24,US,United States,math,Data & Analytics,NEW,66.92
HiringLabSectoralPosting,2020-03-24,US,United States,project,Project Management,NEW,68.93
HiringLabSectoralPosting,2020-03-24,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,68.82
HiringLabSectoralPosting,2020-03-24,US,United States,techinfo,IT Systems & Solutions,NEW,71.51
HiringLabSectoralPosting,2020-03-24,US,United States,techsoftware,Software Development,NEW,86.76
HiringLabSectoralPosting,2020-03-25,US,United States,math,Data & Analytics,NEW,65.16
HiringLabSectoralPosting,2020-03-25,US,United States,project,Project Management,NEW,66.72
HiringLabSectoralPosting,2020-03-25,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,66.61
HiringLabSectoralPosting,2020-03-25,US,United States,techinfo,IT Systems & Solutions,NEW,68.85
HiringLabSectoralPosting,2020-03-25,US,United States,techsoftware,Software Development,NEW,84.61
HiringLabSectoralPosting,2020-03-26,US,United States,math,Data & Analytics,NEW,63.61
HiringLabSectoralPosting,2020-03-26,US,United States,project,Project Management,NEW,65.61
HiringLabSectoralPosting,2020-03-26,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,65.13
HiringLabSectoralPosting,2020-03-26,US,United States,techinfo,IT Systems & Solutions,NEW,66.81
HiringLabSectoralPosting,2020-03-26,US,United States,techsoftware,Software Development,NEW,82.33
HiringLabSectoralPosting,2020-03-27,US,United States,math,Data & Analytics,NEW,61.39
HiringLabSectoralPosting,2020-03-27,US,United States,project,Project Management,NEW,63.05
HiringLabSectoralPosting,2020-03-27,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,63.05
HiringLabSectoralPosting,2020-03-27,US,United States,techinfo,IT Systems & Solutions,NEW,64.45
HiringLabSectoralPosting,2020-03-27,US,United States,techsoftware,Software Development,NEW,79.45
HiringLabSectoralPosting,2020-03-28,US,United States,math,Data & Analytics,NEW,59.54
HiringLabSectoralPosting,2020-03-28,US,United States,project,Project Management,NEW,61.54
HiringLabSectoralPosting,2020-03-28,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,61.61
HiringLabSectoralPosting,2020-03-28,US,United States,techinfo,IT Systems & Solutions,NEW,62.45
HiringLabSectoralPosting,2020-03-28,US,United States,techsoftware,Software Development,NEW,77.44
HiringLabSectoralPosting,2020-03-29,US,United States,math,Data & Analytics,NEW,57.29
HiringLabSectoralPosting,2020-03-29,US,United States,project,Project Management,NEW,59.64
HiringLabSectoralPosting,2020-03-29,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,59.85
HiringLabSectoralPosting,2020-03-29,US,United States,techinfo,IT Systems & Solutions,NEW,60.68
HiringLabSectoralPosting,2020-03-29,US,United States,techsoftware,Software Development,NEW,75.59
HiringLabSectoralPosting,2020-03-30,US,United States,math,Data & Analytics,NEW,55.44
HiringLabSectoralPosting,2020-03-30,US,United States,project,Project Management,NEW,57.78
HiringLabSectoralPosting,2020-03-30,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,58.72
HiringLabSectoralPosting,2020-03-30,US,United States,techinfo,IT Systems & Solutions,NEW,59.31
HiringLabSectoralPosting,2020-03-30,US,United States,techsoftware,Software Development,NEW,74.21
HiringLabSectoralPosting,2020-03-31,US,United States,math,Data & Analytics,NEW,53.11
HiringLabSectoralPosting,2020-03-31,US,United States,project,Project Management,NEW,54.98
HiringLabSectoralPosting,2020-03-31,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,56.44
HiringLabSectoralPosting,2020-03-31,US,United States,techinfo,IT Systems & Solutions,NEW,56.78
